"","V1","V2","V3","V4","V5"
"holidays",-46.6241149482223,-55.2931324768915,-5.92280876368534,-66.7349100693344,-15.5290798685159
"hospital",-9.41226399537433,-43.1466951265785,-43.5631227969255,-78.5239661211994,-9.46014642213873
"hours",-7.97222292841941,-7.54040068378344,-4.35027720674787,-7.49623296657658,-9.16894501676539
"hvac",-43.6060755237035,-43.4473821161422,-51.3162337312964,-94.3373040050032,-8.48204757612764
"ideas",-7.39550863760945,-7.49911952962179,-5.66911597960998,-6.18706534509268,-7.29185042434801
"identified",-9.60752131083898,-9.23602268796609,-40.2465873938467,-62.1071360092527,-9.06255466215027
"imagine",-14.6455990945459,-7.70716835548083,-42.0925398213063,-7.21642500159409,-9.75899079638435
"implement",-7.16640914048763,-6.22607270807902,-22.179406250417,-6.31585649869332,-7.19342678000532
"improve",-6.99302348657196,-6.79408294177311,-15.9424734946406,-6.38221034683006,-6.31471745917627
"include",-6.75082831207632,-6.50898074411464,-5.67914473463863,-6.58913009708561,-6.58544444053846
"includes",-7.41015191438396,-8.26859588340972,-34.869818447371,-8.06312796092008,-7.45445826975394
"including",-5.58338284496349,-5.69378884152911,-5.72801072308241,-6.40663701212623,-5.57328433558662
"intelligently",-9.6156938538236,-54.3706626796911,-71.8939382730252,-44.7554117227643,-11.5421886181905
"interact",-8.61525424266485,-7.85475423220361,-29.5894077586207,-7.51181768659784,-8.50460052602874
"internal",-5.78094190929452,-6.28219364739584,-39.7747816004065,-6.6405398917915,-7.41506486542158
"issues",-5.62432918248774,-5.52775943569071,-4.87857895920482,-8.21517872113376,-6.99486350319485
"job",-7.29403191143442,-6.73606911328999,-7.78487732346707,-5.9164355716479,-5.75312868326871
"journeyman",-40.7507300627277,-12.2727237076746,-50.7873310698435,-83.0371549308148,-9.5068756287636
"jurisdiction",-10.8621248280468,-45.5255001310295,-50.5558754757431,-79.0915611386724,-9.33510746778086
"keep",-8.21220567995869,-15.1168187006003,-30.4109163149422,-7.57283061321684,-8.40956850185814
"learn",-9.99419267842373,-9.11777737942089,-6.50999306334684,-8.07157907944703,-6.49703392244162
"level",-6.67938003455877,-5.43698056930927,-25.1416641522116,-6.77858623876042,-6.65106944988401
"licensing",-10.4512943686144,-44.4411175735918,-54.3498566297613,-75.0424188430269,-9.07844006547075
"local",-8.39995240692615,-10.6438656480842,-29.1652013664385,-8.79444182901288,-7.62404520794789
"maintain",-6.20702193532075,-6.35636923727744,-20.3170757991908,-7.08798800721211,-7.08304530941528
"maintenance",-7.4749942237875,-7.62823164655973,-33.4002807397294,-8.10019861119876,-8.05971264480502
"manager",-5.40510629584814,-11.2913451741969,-48.4248390410236,-21.6870436375406,-7.1062657478761
"mechanical",-48.7119245476714,-5.34790310089144,-63.1014334018121,-68.0317982028954,-35.2120271957076
"met",-7.84353413264102,-18.7782530768509,-38.7027217522361,-36.1303799688913,-9.98194077090703
"minimum",-8.27149007812683,-8.45981457492379,-5.58079933918154,-8.53143526739226,-7.82532451046167
"mission",-12.0135859258428,-8.41957564529001,-25.6024050038754,-7.62244845898313,-6.65159967098321
"monitor",-7.39008677547866,-8.93803986785473,-11.0402800812074,-7.94391911324644,-8.44574947509437
"monitoring",-8.00602331148739,-11.9668346359247,-14.6552347412953,-7.01793795630767,-8.38958673987259
"must",-5.83827864246844,-7.28270763622939,-5.80578547603405,-6.36242694949029,-7.16282834217394
"nevada",-12.686426750303,-32.3872915884642,-82.460253630824,-88.132985076198,-17.9233224747131
"normal",-30.9545023433939,-54.1687589603489,-62.6945995593154,-74.3746846301454,-10.7391702976247
"number",-7.69374935851707,-7.53753973314615,-8.20054162704789,-6.82847507541133,-10.1318192853603
"obtain",-9.0791713613746,-10.0583543357526,-54.7738301777717,-16.4815609970673,-8.32232794859623
"operate",-7.79176769619498,-43.2477921822812,-5.689461202235,-11.0528965700045,-8.31970608998985
"operational",-6.64255464337943,-8.79910494789926,-37.7298988712965,-9.48983760516073,-7.36682268779635
"passion",-7.26669692020273,-7.70636453680507,-4.80754192919341,-5.92238344005687,-7.86649376753692
"perform",-7.36683542509703,-6.38610290983404,-35.4890513419381,-8.41339853631116,-7.09076091534956
"plant",-18.3889516801634,-16.7939338473538,-11.0813498569903,-17.621981224439,-9.42660872059574
"positions",-9.68468381982443,-14.4189356964921,-41.3156413682505,-12.3636366696937,-8.24090737917894
"posted",-8.17997819319194,-7.49240892282674,-7.01943140072964,-7.4308205225792,-7.72963039883713
"power",-16.2432694214133,-5.54340404847601,-44.3280660132132,-7.32070029639995,-7.38989157483381
"preference",-11.4069229823136,-28.4805291421643,-43.2632524435632,-10.5294976085063,-8.59465708576996
"problems",-7.27361725437423,-9.09308369883374,-23.0588876769011,-5.83290979944808,-6.76714088330283
"products",-5.9701668948169,-4.71813397821549,-4.97905718757431,-5.04012766497403,-6.22101591598615
"quality",-5.85465651164392,-4.89945174348998,-21.6306051050005,-5.64002172842716,-6.62829216888325
"quickly",-6.8823003232155,-6.61429277957919,-30.3176814119584,-6.3082064878969,-8.10883927798749
"refrigerant",-104.256222872814,-45.5208862533168,-52.0021440777011,-122.727454921899,-9.47065896958142
"relevant",-6.87609174172591,-6.92399258751618,-35.4620508197913,-7.11775268159893,-7.44791590914094
"reno",-12.6864346774134,-31.8541027259687,-83.0329319333214,-84.0110723452879,-17.9210110737063
"repaired",-86.2012239496649,-38.2169111739614,-55.1333745476104,-103.346800188704,-9.2475154182675
"require",-8.39256528549025,-7.01471229111563,-21.538670590309,-8.29586774007609,-8.8314396616337
"required",-6.07047936631051,-5.60001355398818,-5.62102205778438,-7.27419193951235,-5.57075894570932
"respond",-8.22628443495294,-30.0495463379348,-38.7127331443508,-10.1156938372484,-11.4664661731682
"responsibilities",-6.44824700519581,-5.77245034037004,-23.7481867026004,-6.46328150578898,-7.06233224973698
"school",-8.64892658555985,-43.9581408825945,-16.5927175685487,-15.8968034704365,-8.494749076688
"seeks",-10.3307008501299,-15.4907404864803,-10.1811864573539,-11.2560408545328,-8.6872451500251
"services",-6.36855868518163,-8.27662617367798,-7.04957405022728,-5.00635399357111,-5.26120479851288
"shift",-10.0967211955206,-10.1656345534175,-8.08959248857087,-51.9905623644946,-8.59510714325392
"statesimagine",-20.6735302481954,-10.06087107987,-46.3624735374649,-9.66478424540502,-24.1769391079201
"strategies",-6.60085159491442,-7.51973393602902,-23.6136658101486,-9.61952872447212,-7.39315941131996
"sts",-68.1980932098473,-46.0827709008915,-53.6901523719073,-93.8934527061949,-9.41003434776498
"support",-4.81897287936638,-5.65261147490697,-4.75868406718711,-6.11146059347538,-5.85081768406784
"switchgear",-31.3363225525169,-29.837106167424,-52.7746037498925,-85.3861506387613,-9.43988731292046
"systems",-6.18717713016573,-5.49897774092258,-5.559442985517,-4.67811760626745,-5.84489733216517
"teams",-5.04460319280983,-4.76585864552999,-7.15736553622218,-5.20078465329252,-5.7020409035875
"technical",-5.60286340281302,-5.6279438316624,-4.12238531310265,-5.7360232517836,-5.45431360192667
"technician",-8.91924338868123,-8.64730418491989,-34.507854721549,-63.9185010728963,-9.58613101815236
"technicians",-11.6879974772776,-7.94114271991104,-38.7555756034898,-57.3290574443992,-9.4115160896411
"telling",-18.7927045506494,-7.6305599826512,-34.7234716891386,-6.65789224736258,-16.6808000621915
"theres",-20.1225858417638,-7.64574124938388,-34.4950083012101,-6.58136825775566,-17.1083831782976
"tracking",-6.87412923167806,-7.62864331806237,-28.536476231254,-9.7647637927116,-9.01936643265684
"trade",-8.51579463147278,-7.24961477199176,-48.2662058196144,-13.4615117651715,-12.8334241747043
"training",-5.9312169637443,-12.621287299675,-4.67514471794,-23.4422839922513,-6.42190203326611
"transformers",-33.6224899216504,-30.2460094887848,-56.9632945584766,-81.3747355223013,-9.43988731197701
"trending",-10.612815346713,-9.52190874075396,-42.6867674105687,-59.4327631553458,-11.2006776058724
"two",-9.2165593751869,-8.4717156352118,-27.2359602622244,-10.1305115176055,-7.63567593162976
"understanding",-6.25282095662522,-6.94672998092205,-21.5101970802521,-6.4542357415152,-6.39417811078188
"united",-8.12744958072953,-7.49242071044129,-8.16091450193715,-7.44374276431851,-7.49490238956948
"units",-9.25248605873958,-8.53139192692809,-40.0773800214936,-39.6958720070642,-7.5199358268448
"universal",-14.296164855627,-9.6841372505757,-36.4508728565224,-8.73580582675079,-9.41165958117316
"upgrade",-9.97205636671,-33.3227860417446,-56.7024102602781,-42.5227404707211,-11.5721307870746
"ups",-9.53996509105473,-20.599383119472,-49.6015679313124,-33.135169475725,-8.93542832858454
"used",-7.99242067866792,-6.99188427691797,-21.4527171325137,-6.55967873502917,-7.64428988885553
"vendors",-6.62620807937201,-6.01809575311569,-40.0941772277174,-9.46420223407082,-11.1088101070896
"verifiable",-28.7706027034924,-35.93439015507,-58.2937126366622,-10.9674292995477,-8.96428279402293
"way",-8.43487286306998,-7.29159875479732,-5.58508559871297,-6.31665591324001,-8.36544454012045
"weekends",-20.9443344285847,-64.9522431834433,-5.05944880972747,-82.8645734817839,-35.7936905614426
"weekly",-7.12708900791566,-7.3569305501839,-8.17286327916052,-7.48404726049327,-9.16474322759347
"work",-4.86182986344095,-4.76781988790507,-4.31893842348747,-4.64284243229166,-4.98691345300398
"working",-6.00240317859423,-5.760427516584,-30.252634736966,-5.37466366042095,-6.0065653056939
"years",-6.28006708288206,-6.17531064658253,-9.73497358068319,-5.83324398069634,-5.39514141936735
"accounting",-6.61458834688112,-83.2772800047806,-82.1203771310677,-59.3305542377394,-18.1452599074401
"accuracy",-7.47081022285726,-8.72277417409375,-36.3353151644096,-8.65276676552828,-10.1049446568983
"acquiring",-25.6563143381058,-129.251361126206,-8.63096611831978,-81.8301055815623,-9.04713353977371
"act",-7.23786442175525,-8.85904466591943,-19.2779092454255,-19.8920792708085,-8.27498515792986
"advance",-15.5010994398943,-13.0238883359866,-8.61324202918004,-12.8977122791126,-8.03592199771494
"advanced",-7.95948565761376,-7.01139662631714,-34.7826152888787,-7.52574943111724,-6.44012343285554
"advise",-8.66674177348555,-36.692171421586,-39.7003132007472,-9.3649876590534,-11.3378974511693
"also",-6.7570670247458,-7.19483281851638,-5.7327760866598,-6.04215693789462,-6.83120700086157
"american",-11.7996778137338,-80.9416443345864,-92.9262991615009,-80.5651183911317,-9.93258936358891
"analysis",-5.80985605948397,-5.2095361394703,-47.2915022217408,-6.59225441853424,-5.43972369586978
"analyst",-6.26792750460992,-61.4517497875153,-39.0914076601543,-39.3238529364361,-7.35658731594663
"analytical",-6.35621824381202,-8.23768922660438,-7.19133388937112,-8.35079547395721,-6.44134954100474
"analytics",-8.15395841632984,-47.2368833053492,-33.7460969301689,-7.38404010124279,-5.01515119382127
"analyze",-6.81078593098258,-6.3548080114189,-5.68463392269112,-7.35152970618081,-7.4597026608373
"assist",-6.92757134263297,-7.86876461829188,-8.50306655525708,-8.80307932880011,-7.42349025705772
"association",-10.0062485066695,-77.0049695166628,-62.6126077097567,-33.5284664483837,-10.3772935011579
"attention",-7.25282631698347,-8.81483583332677,-37.0050566566555,-7.79423047875535,-9.73574171376928
"bachelors",-6.43422781416887,-8.74843086762932,-28.2040117753416,-6.61894719822538,-7.6559024935825
"based",-6.26113632179123,-6.60770047856349,-24.4876137796559,-7.00932619607882,-6.70193754432
"become",-8.11815330168689,-9.16630806509251,-42.2084914663061,-9.12059754326068,-8.71205009190916
"better",-7.93902990007326,-7.78855261825951,-8.74289377245768,-8.51133681879453,-7.06347974333048
"build",-6.64054896943691,-7.45761461293161,-38.7317595806004,-5.26569983875526,-6.66298184109693
"business",-4.19742698166061,-10.0553095815178,-5.28244425682785,-7.39365334920044,-4.37220312908402
"california",-8.06820196618269,-7.51966993106768,-9.90747266342463,-7.44113886686816,-9.78566507638445
"card",-8.00615326013637,-94.6839184137759,-20.0247019598512,-9.40661485590697,-11.6331384378089
"changes",-6.79431641297796,-8.51649264789946,-44.9615392912992,-8.55978656518998,-7.97831763667595
"china",-9.91674141715613,-10.5100646593231,-33.3690011366636,-39.1396879309369,-13.2368909572902
"clara",-7.97731659819006,-7.37935540024327,-34.7378370156041,-7.38115985268248,-10.8813648720681
"communication",-5.68937265577308,-6.4313337422939,-5.52648249844052,-6.26912358527425,-7.02875250955291
"complete",-8.00101661730134,-7.64932391857133,-5.98163010172582,-8.56418663485479,-10.6733737875322
"complex",-6.18033219552115,-6.8199083601786,-5.62241275276948,-6.36570601722183,-6.24537672532116
"contract",-7.85545654345788,-7.54293220505362,-53.1153967625044,-30.930127786262,-8.7169934430023
"credit",-7.58720021099876,-79.4915239529411,-24.4051752513826,-10.5071140827824,-10.7523447704901
"debit",-31.161698003412,-377.629353382538,-358.283461625718,-377.44706246533,-10.3714455163714
"decisions",-6.79131777421432,-8.1267584782064,-50.5432860600635,-9.52197574862005,-6.76444513889717
"demonstrated",-7.84803747209831,-8.21365911163608,-38.6940885700728,-7.85301629178549,-7.3838327028365
"desired",-8.13530048262514,-8.69599256585794,-35.2191766867884,-7.49638128603441,-7.96239034101203
"detailsthe",-34.2654112148406,-379.722873631378,-359.412134743634,-378.470787702209,-12.9363948732282
"develop",-5.64053068965727,-5.02840135035595,-28.8090228522378,-5.9571961190902,-5.96654375570743
"directly",-8.27797077941931,-7.68188851272912,-31.7640558127999,-7.83331747107213,-7.75951134677792
"discover",-12.3088454262556,-9.18499726392938,-32.7294469943379,-9.55645252770896,-9.23993788802427
"driven",-7.24304323260645,-7.29843843054792,-42.5358114793994,-6.92200689052148,-6.92363552707945
"effective",-6.54362909263875,-10.0658037841608,-8.22473044836385,-7.95716783088859,-7.77463667885517
"enhance",-8.17724237996737,-7.39157324006652,-22.4015811163527,-7.26122385318457,-7.52033830411264
"excel",-7.29565490797835,-10.0537463886057,-36.4611743597039,-14.0657295847999,-7.42497201290166
"exhibit",-10.1713753759392,-12.3265405256168,-37.5562316968669,-12.684346432192,-18.0415042224161
"expansion",-9.25468605005081,-61.4878093719408,-100.131390931358,-10.7976839482639,-8.57892150006975
"expert",-7.6139633853844,-8.76083973104341,-49.9984192801352,-8.20403593892107,-7.39224832464401
"exploration",-33.1365306327903,-9.29010176044622,-102.025140426361,-8.5376580571043,-9.74765382244064
"express",-9.62014347133702,-53.8378706212224,-39.1809286742553,-11.948462073356,-11.0824850394295
"fee",-27.2830691052995,-369.747847300305,-350.382181479269,-125.865047277198,-8.74674014418273
"fees",-31.6182599271948,-89.0153496576384,-103.84911305653,-62.5888773143054,-9.0243718671921
"file",-12.2196287465294,-8.61553522632532,-27.7725189993643,-8.84586280295623,-8.74232127248222
"finance",-5.44786103360851,-28.2207489712566,-79.0120507183922,-24.3324398996086,-7.72520787876165
"gain",-8.10751116843092,-45.7939502191171,-51.3375859990607,-13.0833817440686,-8.41143244569794
"global",-5.74843918629451,-9.00735296203694,-34.5105658293168,-7.97569372815084,-6.60026001397449
"help",-7.17022617531654,-7.69373215737313,-4.82716117671033,-5.70642129209776,-5.7841636023667
"higher",-9.529232434716,-8.83783594557903,-47.8769253228105,-8.78151431369727,-8.01654171784952
"highest",-7.42128740606613,-8.01487235044069,-42.6642091500273,-7.77474628795116,-15.9917022259523
"hoc",-7.73924239066371,-50.9092420090033,-76.9861489678264,-9.12053422147913,-8.23051255672168
"identify",-5.89093586498202,-6.3331783478111,-7.23765771094029,-9.05277049324829,-6.43869548676976
"impacts",-8.40125662489288,-10.073881700334,-19.9759765689601,-8.79788956694008,-10.1618940764988
"improvement",-6.45318481007925,-8.01687030556475,-49.9190135801437,-9.41160711456621,-7.48218308962183
"independently",-7.05804372006927,-9.87714518229582,-5.92073865401918,-8.83246168291277,-7.8990681727367
"industry",-6.74635080706919,-7.13020874930348,-33.8455185337811,-6.33586993576126,-6.61226116786424
"initiatives",-6.0553139596313,-16.3186355463629,-18.8314141025842,-8.91281035174395,-6.58238928596162
"inputs",-8.85391971720449,-102.129134146569,-48.4529981867293,-24.5701491438462,-9.41124397545927
"integrity",-6.88693449690586,-8.17528023403742,-23.7551331549715,-9.31184878998813,-7.61957044857398
"intermediate",-10.3006463862895,-11.913796587217,-43.9416337019576,-49.9097339858431,-10.7087862702609
"international",-7.27401385118887,-8.11714799187454,-44.0672403275911,-9.08130790559433,-11.1938546935299
"itunes",-7.44492374288281,-39.9357184434781,-25.4033536341322,-6.20554016252331,-7.11598801894383
"levels",-6.4125399110837,-7.56416129768579,-25.4687967342375,-7.87107600415291,-8.38195982423385
"listening",-9.31704544993116,-9.56317440125832,-49.5735695388112,-26.1363659974267,-11.5611073741957
"manage",-5.24212459892908,-6.90476129817653,-5.55692275753417,-7.43773119524459,-7.96056859986893
"management",-4.50695249775532,-6.16283607400735,-5.78580711679407,-6.7500053616112,-5.76098088075336
"managers",-6.18424550063012,-15.9999121100312,-44.5603046247866,-8.06683331573855,-8.15172242462477
"mastercard",-31.7461954425714,-377.98755390906,-356.499643444235,-375.926043709527,-10.3714455157288
"matter",-7.62885331448281,-8.90172313800785,-46.3083294391547,-10.1439088215224,-8.05345981109752
"methods",-10.7609727682387,-6.40295242611473,-30.1055139796977,-7.86504374213585,-6.829516748719
"models",-7.87568435849918,-7.13889037633803,-38.2027871543011,-7.15465260866443,-6.4288234105887
"motivatedthe",-30.4120481376869,-41.5639921647871,-67.4941494838289,-12.8317763104096,-12.9363949121724
"negotiations",-8.51659924315788,-73.6239410084796,-117.405333151405,-80.5210298309638,-12.903801128477
"networks",-8.15148826116085,-9.93051934623011,-23.0080247249787,-7.85070813863729,-8.5708159135338
"new",-5.75151517650192,-4.91567778409772,-8.33814720783417,-5.09660129760962,-5.69494097135982
"objects",-9.23345038370379,-74.3002613923314,-82.6975264034192,-12.6756379133821,-9.23043392707296
"online",-6.63661853617522,-59.037502380763,-5.91180233943679,-9.42795534508813,-6.28364416894283
"operations",-5.10650052803067,-6.81459927764154,-18.3566180138867,-7.16196352169441,-6.99177094929927
"opportunities",-6.35457724930647,-8.70525614658534,-7.09046169344244,-8.51884398541545,-5.79320890974656
"organizational",-7.04663863575207,-11.9082418473952,-36.1206317106912,-10.2842393113263,-8.24060595291328
"output",-9.25043200310308,-15.3271740823279,-8.5701935228198,-13.8380730656589,-9.78771091496638
"partner",-5.80029014758099,-7.82411932305691,-7.24746904419634,-9.03499436937184,-6.83757626704488
"partners",-5.55137834854813,-7.14161343188103,-49.3450660827162,-12.4768833540602,-6.72875558842356
"partnershipsthe",-17.293239210232,-287.605915918833,-306.818179891748,-291.278036700942,-11.844437689013
"party",-7.91169380512303,-8.17695799870617,-22.5898916184109,-8.95093592079083,-7.6662338679856
"pay",-21.6218392362119,-39.8091448763816,-5.71962644416449,-9.81637994488544,-8.21039933894899
"payment",-9.42025815404511,-59.3617532940121,-57.0356219997255,-36.6731837510356,-7.0677832655329
"payments",-8.49859054678506,-247.400867844656,-84.1932596670683,-40.2686226940804,-10.0634198632474
"plusthe",-12.5364208150553,-10.1547551301551,-10.990087878565,-10.7176720435243,-11.9847272387747
"presentationsthe",-34.9415865441341,-380.002510480765,-361.803075667601,-378.029638924327,-12.9363948728119
"proactively",-7.63315629328269,-9.04884197787852,-61.3485249826,-17.6787527605062,-8.18918227279051
"problem",-6.52951078277892,-6.77174741349479,-5.60899494646696,-6.83175433393093,-7.68567096226603
"process",-5.05339162341917,-5.52741700353458,-50.2174871585718,-8.80025187991194,-6.12493953817787
"proven",-6.75088073436495,-9.35156295609763,-37.5462386134396,-7.59037690586767,-7.27855304932536
"provide",-5.60212328278175,-6.6787528823161,-5.98596774448239,-6.74905990244928,-6.15807337605243
"providing",-6.67580360946362,-7.59115367417491,-5.38663672935754,-15.0587744942847,-6.8904532660422
"quarterly",-7.34357811747323,-81.2797365709834,-77.1023797567495,-73.6128733481077,-9.59663224234641
"reductions",-32.2267062120956,-131.181302284663,-129.650720068508,-123.357871566702,-10.2973375432306
"regulation",-28.950432489255,-182.954161051945,-96.7063312045075,-68.7546660612772,-10.29733755507
"regulations",-8.75394916427746,-40.299120826263,-61.9238410591765,-28.5309811905538,-6.90263294856544
"relationships",-6.34804779671614,-8.58103721781695,-28.0233894993368,-16.1865463249272,-7.24512920699391
"reporting",-5.48524533591632,-7.75349851515218,-36.0449558974334,-9.63141125696504,-6.14087617329928
"reports",-6.80460774439846,-6.61279076935484,-52.1428460366537,-10.0545477008528,-7.2719166634278
"request",-8.53621564352585,-23.0531128256381,-54.4760334558586,-26.1371349824688,-6.9948080518006
"requirements",-5.62025139390851,-5.55305208096528,-5.99278877226916,-7.19504812209189,-6.13110785949436
"reviews",-7.38907193571626,-6.44074361164573,-52.6314839217169,-9.11545764859422,-8.68324369607041
"role",-5.37149753234472,-5.47233694398801,-36.2248520703073,-5.77539150834822,-5.77080661725577
"rules",-9.94403499532195,-8.64941242061915,-78.1104027639448,-35.5160458162496,-8.08469330059704
"sales",-5.68923119225252,-71.9083429938339,-75.9633050993347,-34.548135528314,-6.21335448058999
"santa",-7.92192242227333,-7.38258644838024,-34.6829397793524,-7.38107532834596,-10.9774559180636
"sapthe",-33.8855636577565,-377.738251531955,-357.649067103649,-376.925079105504,-12.9363948736196
"self",-6.31611398076193,-7.84666939356979,-8.01915992061299,-6.08673168890486,-9.45891344545684
"skills",-5.24535898434285,-6.20796951240994,-5.32257866131446,-5.42111807484319,-5.53954450824969
"skillsthe",-10.2860070215431,-9.81021056112465,-22.7331120007493,-9.73661230464081,-11.9256120360573
"solving",-7.16838433332366,-6.92804742321576,-22.6818209221667,-6.94614260371092,-7.9404367337398
"standards",-6.92628647554507,-7.33970673640512,-43.0585011207005,-7.49732082771095,-7.09028962975905
"statesthe",-9.52054633803654,-8.95617991542277,-25.3139848173067,-9.048333535276,-12.3109417095997
